iter	Passed	Remaining
0	114	331968
1	166	241855
2	224	216944
3	275	199698
4	317	184100
5	368	177506
6	408	168761
7	467	168863
8	492	158110
9	544	157223
10	627	164841
11	699	168252
12	724	160817
13	747	154005
14	770	148145
15	793	143072
16	817	138557
17	839	134465
18	861	130648
19	883	127285
20	919	126117
21	947	123914
22	1007	126060
23	1075	128860
24	1116	128388
25	1193	131924
26	1246	132612
27	1273	130585
28	1297	128499
29	1351	129259
30	1446	133903
31	1490	133602
32	1522	132283
33	1567	132162
34	1614	132142
35	1652	131490
36	1715	132771
37	1741	131128
38	1790	131358
39	1885	134821
40	1923	134128
41	1947	132522
42	1981	131636
43	2006	130208
44	2032	128951
45	2056	127602
46	2070	125688
47	2107	125198
48	2136	124301
49	2159	123092
50	2182	121926
51	2206	120826
52	2230	119817
53	2253	118757
54	2275	117717
55	2295	116555
56	2327	116103
57	2352	115273
58	2376	114454
59	2454	116199
60	2543	118374
61	2586	118383
62	2611	117595
63	2637	116863
64	2662	116113
65	2685	115308
66	2708	114537
67	2731	113770
68	2767	113555
69	2791	112859
70	2807	111879
71	2832	111241
72	2874	111328
73	2953	112791
74	3034	114313
75	3077	114369
76	3121	114450
77	3163	114459
78	3196	114152
79	3226	113726
80	3272	113902
81	3362	115569
82	3428	116351
83	3460	116015
84	3525	116767
85	3568	116749
86	3608	116666
87	3651	116672
88	3690	116552
89	3722	116239
90	3805	117473
91	3884	118548
92	3968	119770
93	4021	120049
94	4046	119465
95	4099	119738
96	4187	121019
97	4242	121301
98	4285	121240
99	4325	121114
100	4371	121152
101	4401	120740
102	4446	120735
103	4531	121838
104	4565	121517
105	4588	120941
106	4616	120515
107	4642	120019
108	4667	119511
109	4731	120002
110	4755	119492
111	4826	120135
112	4907	121030
113	4963	121304
114	4990	120860
115	5014	120338
116	5049	120110
117	5075	119663
118	5098	119147
119	5120	118625
120	5138	118012
121	5163	117567
122	5185	117067
123	5227	117034
124	5318	118072
125	5381	118476
126	5411	118160
127	5436	117737
128	5464	117391
129	5489	116970
130	5549	117311
131	5625	117967
132	5687	118319
133	5724	118166
134	5780	118390
135	5814	118164
136	5846	117908
137	5870	117501
138	5898	117153
139	5984	117971
140	6044	118265
141	6069	117882
142	6091	117440
143	6113	117010
144	6138	116635
145	6161	116224
146	6187	115884
147	6220	115671
148	6246	115320
149	6270	114954
150	6294	114596
151	6318	114223
152	6353	114066
153	6378	113740
154	6418	113663
155	6443	113333
156	6468	113011
157	6498	112782
158	6522	112444
159	6546	112108
160	6571	111792
161	6597	111508
162	6625	111247
163	6657	111071
164	6682	110768
165	6704	110427
166	6731	110161
167	6806	110688
168	6894	111405
169	6924	111196
170	6951	110945
171	6976	110651
172	6994	110259
173	7018	109964
174	7043	109676
175	7067	109392
176	7084	108994
177	7119	108873
178	7143	108594
179	7167	108303
180	7191	108037
181	7215	107763
182	7238	107469
183	7279	107445
184	7357	107974
185	7402	108008
186	7424	107720
187	7451	107497
188	7476	107238
189	7498	106956
190	7524	106717
191	7548	106469
192	7588	106434
193	7611	106173
194	7635	105923
195	7659	105664
196	7682	105408
197	7705	105149
198	7728	104899
199	7751	104646
200	7775	104401
201	7803	104231
202	7829	104015
203	7849	103738
204	7870	103469
205	7894	103235
206	7914	102968
207	7940	102772
208	7963	102534
209	7987	102319
210	8015	102151
211	8038	101924
212	8063	101721
213	8093	101582
214	8141	101674
215	8187	101740
216	8236	101842
217	8272	101776
218	8298	101592
219	8326	101429
220	8349	101209
221	8369	100964
222	8392	100752
223	8416	100552
224	8450	100465
225	8472	100248
226	8505	100152
227	8537	100057
228	8575	100017
229	8607	99922
230	8633	99747
231	8675	99766
232	8704	99632
233	8737	99542
234	8769	99448
235	8801	99353
236	8830	99221
237	8856	99062
238	8893	99021
239	8929	98963
240	8957	98827
241	8991	98756
242	9019	98617
243	9051	98526
244	9084	98444
245	9117	98365
246	9141	98185
247	9166	98026
248	9191	97856
249	9221	97745
250	9254	97666
251	9286	97582
252	9319	97500
253	9351	97422
254	9374	97241
255	9403	97121
256	9440	97081
257	9466	96934
258	9489	96766
259	9513	96596
260	9546	96522
261	9570	96367
262	9592	96185
263	9617	96033
264	9642	95878
265	9666	95724
266	9691	95568
267	9715	95412
268	9739	95255
269	9772	95190
270	9797	95046
271	9826	94936
272	9849	94776
273	9877	94663
274	9903	94529
275	9933	94438
276	9961	94325
277	9986	94193
278	10015	94092
279	10045	94001
280	10072	93877
281	10094	93712
282	10122	93606
283	10146	93466
284	10175	93365
285	10210	93322
286	10233	93170
287	10265	93103
288	10297	93032
289	10325	92930
290	10351	92805
291	10379	92703
292	10418	92696
293	10452	92649
294	10484	92582
295	10515	92508
296	10548	92450
297	10578	92362
298	10611	92313
299	10655	92350
300	10684	92259
301	10706	92101
302	10728	91955
303	10748	91784
304	10768	91621
305	10791	91484
306	10813	91335
307	10836	91198
308	10867	91121
309	10890	90988
310	10915	90872
311	10939	90744
312	10963	90615
313	10995	90556
314	11027	90496
315	11061	90455
316	11106	90498
317	11135	90416
318	11166	90344
319	11190	90222
320	11212	90081
321	11235	89956
322	11256	89809
323	11267	89582
324	11286	89422
325	11314	89339
326	11339	89224
327	11361	89092
328	11389	89002
329	11420	88939
330	11453	88893
331	11483	88822
332	11520	88810
333	11556	88781
334	11589	88734
335	11625	88712
336	11658	88666
337	11690	88609
338	11722	88560
339	11761	88555
340	11792	88498
341	11815	88377
342	11839	88262
343	11863	88145
344	11889	88048
345	11910	87914
346	11940	87852
347	11964	87739
348	11987	87619
349	12007	87484
350	12030	87368
351	12055	87268
352	12078	87151
353	12103	87050
354	12127	86939
355	12167	86946
356	12198	86893
357	12231	86852
358	12263	86801
359	12290	86715
360	12312	86598
361	12338	86507
362	12375	86494
363	12412	86477
364	12443	86422
365	12476	86382
366	12507	86326
367	12538	86267
368	12552	86096
369	12578	86011
370	12604	85920
371	12628	85816
372	12651	85709
373	12674	85601
374	12695	85481
375	12718	85377
376	12739	85257
377	12762	85150
378	12789	85074
379	12812	84968
380	12837	84874
381	12862	84787
382	12897	84758
383	12930	84722
384	12965	84693
385	12997	84649
386	13024	84575
387	13046	84468
388	13069	84366
389	13092	84263
390	13116	84164
391	13139	84066
392	13162	83963
393	13183	83854
394	13215	83810
395	13241	83727
396	13268	83652
397	13298	83602
398	13330	83559
399	13368	83555
400	13398	83495
401	13441	83526
402	13479	83522
403	13519	83525
404	13551	83484
405	13584	83450
406	13618	83414
407	13653	83392
408	13686	83356
409	13718	83316
410	13748	83261
411	13780	83221
412	13813	83180
413	13840	83111
414	13882	83124
415	13910	83059
416	13923	82907
417	13947	82818
418	13975	82754
419	14004	82691
420	14039	82667
421	14073	82638
422	14111	82633
423	14135	82545
424	14159	82459
425	14183	82373
426	14208	82289
427	14233	82208
428	14259	82135
429	14285	82056
430	14311	81982
431	14342	81939
432	14373	81892
433	14399	81817
434	14431	81778
435	14460	81721
436	14493	81689
437	14532	81686
438	14560	81622
439	14586	81551
440	14609	81464
441	14641	81421
442	14670	81365
443	14690	81259
444	14713	81170
445	14738	81094
446	14765	81030
447	14787	80933
448	14810	80847
449	14831	80749
450	14855	80667
451	14878	80582
452	14900	80486
453	14920	80389
454	14951	80346
455	14975	80261
456	14995	80160
457	15018	80079
458	15044	80010
459	15077	79973
460	15098	79883
461	15132	79856
462	15170	79848
463	15204	79823
464	15235	79782
465	15260	79706
466	15283	79626
467	15307	79544
468	15329	79460
469	15354	79384
470	15385	79347
471	15410	79273
472	15431	79182
473	15455	79101
474	15481	79036
475	15511	78991
476	15543	78957
477	15576	78923
478	15613	78916
479	15648	78894
480	15682	78866
481	15706	78791
482	15729	78711
483	15752	78629
484	15776	78554
485	15798	78474
486	15833	78450
487	15856	78372
488	15877	78284
489	15900	78205
490	15923	78125
491	15946	78046
492	15969	77967
493	15985	77857
494	16003	77755
495	16025	77674
496	16056	77633
497	16081	77566
498	16106	77497
499	16130	77427
500	16184	77498
501	16273	77736
502	16332	77833
503	16374	77845
504	16417	77861
505	16463	77892
506	16507	77914
507	16530	77836
508	16558	77783
509	16629	77930
510	16717	78155
511	16769	78215
512	16794	78144
513	16812	78042
514	16839	77986
515	16878	77982
516	16895	77877
517	16926	77834
518	16958	77797
519	16982	77726
520	17004	77646
521	17028	77575
522	17053	77508
523	17108	77574
524	17206	77836
525	17248	77849
526	17272	77774
527	17295	77698
528	17324	77647
529	17352	77595
530	17374	77512
531	17397	77437
532	17430	77408
533	17456	77343
534	17479	77269
535	17491	77146
536	17513	77063
537	17534	76983
538	17557	76908
539	17576	76817
540	17600	76745
541	17623	76673
542	17709	76872
543	17795	77072
544	17848	77123
545	17891	77134
546	17955	77238
547	17998	77249
548	18039	77250
549	18071	77212
550	18125	77269
551	18209	77455
552	18254	77475
553	18300	77495
554	18341	77495
555	18378	77482
556	18420	77487
557	18453	77450
558	18538	77634
559	18577	77629
560	18618	77626
561	18674	77687
562	18690	77584
563	18728	77569
564	18770	77574
565	18808	77560
566	18859	77599
567	18946	77785
568	18985	77776
569	19026	77775
570	19064	77760
571	19104	77752
572	19149	77768
573	19182	77730
574	19226	77743
575	19294	77847
576	19331	77828
577	19387	77883
578	19408	77800
579	19445	77781
580	19482	77763
581	19521	77751
582	19548	77690
583	19588	77682
584	19664	77816
585	19706	77815
586	19736	77769
587	19774	77751
588	19837	77832
589	19864	77774
590	19905	77770
591	19945	77759
592	19984	77746
593	20018	77716
594	20046	77660
595	20114	77759
596	20153	77744
597	20191	77725
598	20221	77678
599	20252	77634
600	20282	77586
601	20302	77501
602	20327	77432
603	20364	77412
604	20392	77355
605	20417	77290
606	20448	77246
607	20485	77226
608	20509	77154
609	20538	77104
610	20563	77037
611	20608	77046
612	20694	77209
613	20782	77374
614	20807	77310
615	20825	77218
616	20848	77144
617	20869	77063
618	20892	76989
619	20928	76961
620	20951	76887
621	20975	76818
622	21001	76759
623	21082	76895
624	21164	77039
625	21205	77032
626	21229	76962
627	21253	76892
628	21277	76821
629	21300	76749
630	21323	76675
631	21345	76599
632	21363	76509
633	21402	76495
634	21479	76615
635	21571	76789
636	21625	76827
637	21667	76820
638	21706	76805
639	21744	76783
640	21769	76719
641	21849	76845
642	21894	76851
643	21929	76822
644	21967	76800
645	22006	76784
646	22037	76738
647	22084	76751
648	22176	76918
649	22204	76860
650	22228	76792
651	22250	76716
652	22275	76650
653	22309	76618
654	22334	76552
655	22358	76480
656	22381	76411
657	22406	76346
658	22432	76284
659	22456	76215
660	22478	76142
661	22504	76078
662	22537	76042
663	22561	75973
664	22574	75869
665	22596	75797
666	22619	75727
667	22642	75655
668	22665	75584
669	22688	75514
670	22711	75444
671	22735	75380
672	22767	75339
673	22788	75263
674	22811	75193
675	22834	75123
676	22856	75051
677	22876	74974
678	22899	74905
679	22931	74864
680	22965	74831
681	22988	74764
682	23017	74715
683	23046	74664
684	23074	74614
685	23093	74531
686	23123	74487
687	23151	74436
688	23197	74441
689	23248	74461
690	23285	74440
691	23348	74499
692	23388	74485
693	23421	74450
694	23445	74384
695	23470	74324
696	23487	74236
697	23512	74176
698	23539	74122
699	23571	74081
700	23605	74049
701	23649	74049
702	23683	74016
703	23718	73985
704	23744	73927
705	23764	73850
706	23787	73784
707	23807	73709
708	23830	73641
709	23857	73588
710	23880	73521
711	23901	73451
712	23923	73380
713	23973	73397
714	24060	73526
715	24111	73546
716	24152	73535
717	24188	73508
718	24230	73499
719	24258	73450
720	24303	73448
721	24397	73597
722	24454	73632
723	24488	73600
724	24512	73536
725	24534	73468
726	24555	73395
727	24577	73327
728	24598	73255
729	24622	73193
730	24645	73127
731	24670	73066
732	24704	73035
733	24790	73156
734	24857	73220
735	24880	73154
736	24920	73139
737	24948	73088
738	24973	73028
739	24996	72963
740	25019	72896
741	25042	72831
742	25062	72760
743	25085	72693
744	25108	72628
745	25141	72594
746	25162	72523
747	25185	72458
748	25209	72396
749	25231	72329
750	25254	72265
751	25276	72199
752	25297	72129
753	25320	72067
754	25348	72016
755	25371	71952
756	25394	71890
757	25417	71827
758	25445	71776
759	25475	71732
760	25500	71677
761	25528	71627
762	25567	71608
763	25585	71531
764	25615	71487
765	25640	71431
766	25670	71387
767	25694	71330
768	25722	71279
769	25743	71211
770	25767	71153
771	25787	71081
772	25812	71025
773	25835	70963
774	25858	70902
775	25880	70838
776	25902	70774
777	25926	70714
778	25950	70655
779	25981	70616
780	26005	70557
781	26028	70497
782	26051	70436
783	26074	70374
784	26095	70307
785	26117	70244
786	26127	70149
787	26151	70091
788	26172	70025
789	26208	70000
790	26232	69942
791	26255	69880
792	26277	69820
793	26301	69763
794	26323	69700
795	26347	69641
796	26370	69582
797	26393	69523
798	26426	69489
799	26448	69428
800	26470	69365
801	26492	69304
802	26515	69244
803	26538	69185
804	26560	69123
805	26583	69063
806	26600	68990
807	26623	68931
808	26652	68887
809	26672	68822
810	26699	68773
811	26723	68716
812	26742	68648
813	26764	68588
814	26788	68531
815	26808	68467
816	26842	68438
817	26863	68375
818	26886	68316
819	26907	68253
820	26931	68197
821	26954	68139
822	26976	68081
823	26999	68023
824	27022	67964
825	27037	67889
826	27065	67843
827	27085	67779
828	27108	67721
829	27128	67658
830	27151	67600
831	27166	67524
832	27191	67472
833	27214	67415
834	27235	67355
835	27259	67302
836	27289	67262
837	27314	67210
838	27337	67153
839	27359	67096
840	27382	67040
841	27405	66983
842	27424	66917
843	27445	66856
844	27466	66796
845	27489	66742
846	27515	66694
847	27540	66642
848	27563	66586
849	27585	66530
850	27606	66469
851	27628	66412
852	27651	66356
853	27676	66307
854	27709	66274
855	27725	66205
856	27748	66150
857	27764	66077
858	27787	66023
859	27810	65968
860	27834	65916
861	27856	65860
862	27879	65805
863	27901	65750
864	27933	65717
865	27957	65663
866	27978	65604
867	28000	65550
868	28023	65495
869	28046	65441
870	28066	65382
871	28089	65326
872	28112	65274
873	28143	65238
874	28169	65191
875	28192	65138
876	28214	65083
877	28233	65020
878	28247	64945
