fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4548.0,9332.0,6867.0,12.0,1500000.0,30.0,56.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5174.0,9021.0,3693.0,12.0,1600000.0,20.0,109.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4582.0,6663.0,4400.0,12.25,1350000.0,8.0,24.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3855.0,6567.0,4260.0,12.0,1800000.0,10.0,7.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3770.0,6291.0,4754.0,12.0,1600000.0,25.0,15.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1681.0,8481.0,3542.0,12.0,1500000.0,8.0,14.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1297.0,8772.0,2741.0,9.0,1570731.836793961,30.0,31.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2619.0,10326.0,688.0,16.0,2250000.0,46.0,44.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2908.0,9013.0,1958.0,21.0,1700000.0,30.0,231.0,0.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3485.0,9306.0,2085.0,12.0,700000.0,5.0,34.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3464.0,8882.0,2354.0,16.0,1400000.0,13.436590072029645,49.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4539.0,13800.0,2973.0,12.0,600000.0,50.0,392.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2995.0,9069.0,1952.0,12.0,1693195.6926457172,14.0,3.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1189.0,9066.0,3294.0,11.785180315239145,1000000.0,5.0,15.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1954.0,8135.0,3115.0,15.235475136945903,2000000.0,34.0,3.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1520.4727384067767,9851.0,1513.0,12.0,2500000.0,3.0,7.0,0.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2728.0,7327.0,4069.0,12.0,700000.0,10.0,33.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1250.0,8952.0,3287.0,12.0,1800000.0,17.0,32.0,-1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4506.0,13974.0,3161.0,30.0,1400000.0,8.91051660131893,28.0,-1.0
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1053.0,10564.0,1335.0,9.0,650000.0,12.0,33.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1030.0,10503.0,1336.0,9.06363025900739,625000.0,47.0,3.0,1.0
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2761.0,9126.0,3019.0243784787826,12.0,600000.0,7.0,5.0,-1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4114.0,11673.0,1777.0,7.5,350000.0,5.0,14.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3844.0,11800.0,3941.35818076607,9.0,400000.0,11.0,31.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3500.0,11819.0,1243.0,9.0,325000.0,41.0,104.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2786.0,8866.0,2036.0,12.0,550000.0,5.0,2.0,-1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,11275.0,1485.0,11858.0,16.0,748653.5072988933,10.0,21.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5306.0,15030.0,4279.0,10.5,700000.0,28.0,97.0,-1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3341.0,7623.0,3237.0,12.0,700000.0,12.0,133.0,-1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,7263.0,16829.0,8158.0,12.0,800000.0,2.0,13.0,-1.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1674.0,8924.0,3855.0,18.0,1750000.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1443.0,8572.647842598994,3668.0,10.5,292000.0,5.0,49.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,8636.526709045236,822.0,10024.0,13.5,750000.0,40.0,14.0,-1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1288.0,9164.0,3491.0,9.0,334000.0,8.0,7.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2888.0,11026.0,553.0,12.0,1700000.0,7.0,4.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3628.0,8797.0,2515.0,35.0,2000000.0,12.0,27.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1482.0,9075.0,1986.0,25.0,1300000.0,26.0,5.0,-1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2030.0,10101.0,733.0,12.25,700000.0,3.0,37.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1591.0,8690.0,3605.0,12.0,1600000.0,11.0,88.0,0.0
