id,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1778.0,10038.0,4106.0,9.0,1500000.0,6.0,72,campur
2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,4548.0,9332.0,6867.0,12.0,1500000.0,30.0,56,campur
3,1.0,,1.0,1.0,1.0,1.0,0.0,1.0,5174.0,9021.0,3693.0,12.0,1600000.0,20.0,109,campur
4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1490.0,8954.0,2139.0,8.25,1500000.0,15.0,54,campur
5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1688.0,8851.0,2145.0,14.85,2100000.0,10.0,19,campur
6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1533.0,8715.0,3533.0,9.0,1350000.0,7.0,5,putri
7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,969.0,9079.0,2727.0,9.625,1300000.0,20.0,20,putri
8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,5200.0,8910.0,3762.0,10.5,1000000.0,11.0,25,putri
9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4835.0,8490.0,3618.0,20.0,4000000.0,8.0,4,putri
10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2880.0,8698.0,2210.0,9.0,1950000.0,25.0,24,campur
11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3445.0,8635.0,2512.0,9.0,1500000.0,21.0,12,putri
12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2060.0,7997.0,3337.0,10.5,1750000.0,34.0,19,putra
13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,4582.0,6663.0,4400.0,12.25,1350000.0,8.0,24,putri
14,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3130.0,7416.0,3413.0,9.0,2000000.0,13.0,12,putra
15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3601.0,8465.0,2718.0,10.5,1400000.0,40.0,24,putri
16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2845.0,8760.0,2146.0,24.0,2000000.0,45.0,9,campur
17,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,3855.0,6567.0,4260.0,12.0,1800000.0,10.0,7,putri
18,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1490.0,8572.0,3184.0,12.0,1500000.0,9.0,54,putra
19,1.0,1.0,1.0,,1.0,1.0,0.0,0.0,3770.0,6291.0,4754.0,12.0,1600000.0,25.0,15,putri
20,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2807.0,7496.0,3401.0,12.0,1250000.0,16.0,26,putri
21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1547.0,8563.0,3361.0,16.0,2000000.0,15.0,7,putri
22,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1681.0,8481.0,3542.0,12.0,1500000.0,8.0,14,putra
23,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1297.0,8772.0,2741.0,9.0,,30.0,31,putri
24,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2880.0,9899.0,1227.0,16.0,1800000.0,26.0,57,campur
25,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4220.0,9904.0,2399.0,16.0,1800000.0,6.0,7,putri
26,1.0,1.0,1.0,,1.0,1.0,0.0,1.0,2619.0,10326.0,688.0,16.0,2250000.0,46.0,44,campur
27,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3465.0,10139.0,1554.0,12.0,2200000.0,27.0,13,campur
28,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1364.0,8744.0,3230.0,15.75,1500000.0,12.0,10,putri
