id,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
1,1,1,1,1,1,1,0,1,1778,10038,4106,9,1500000,6,72,1
2,1,1,0,1,1,1,0,,4548,9332,6867,12,1500000,30,56,1
3,1,,1,1,1,1,0,1,5174,9021,3693,12,1600000,20,109,1
4,1,1,1,1,1,1,0,0,1490,8954,2139,8.25,1500000,15,54,1
5,1,1,0,1,1,1,0,1,1688,8851,2145,14.85,2100000,10,19,1
6,1,1,0,1,1,0,0,0,1533,8715,3533,9,1350000,7,5,0
7,1,1,1,1,1,1,0,0,969,9079,2727,9.625,1300000,20,20,0
8,1,1,0,1,1,1,0,0,5200,8910,3762,10.5,1000000,11,25,0
9,1,1,1,1,1,1,0,0,4835,8490,3618,20,4000000,8,4,0
10,1,1,1,1,1,1,0,0,2880,8698,2210,9,1950000,25,24,1
11,1,1,1,1,1,1,0,1,3445,8635,2512,9,1500000,21,12,0
12,1,1,1,1,1,1,0,0,2060,7997,3337,10.5,1750000,34,19,2
13,1,1,1,1,1,1,0,,4582,6663,4400,12.25,1350000,8,24,0
14,1,1,0,1,1,1,0,0,3130,7416,3413,9,2000000,13,12,2
15,1,1,1,1,1,1,0,1,3601,8465,2718,10.5,1400000,40,24,0
16,1,1,1,1,1,1,0,0,2845,8760,2146,24,2000000,45,9,1
17,1,,1,1,1,1,0,0,3855,6567,4260,12,1800000,10,7,0
18,1,1,1,1,1,1,0,1,1490,8572,3184,12,1500000,9,54,2
19,1,1,1,,1,1,0,0,3770,6291,4754,12,1600000,25,15,0
20,1,1,1,1,1,1,0,0,2807,7496,3401,12,1250000,16,26,0
21,1,1,1,1,1,1,0,1,1547,8563,3361,16,2000000,15,7,0
22,1,1,1,1,1,1,,0,1681,8481,3542,12,1500000,8,14,2
23,1,1,1,1,1,1,0,0,1297,8772,2741,9,,30,31,0
24,1,1,1,1,1,1,0,1,2880,9899,1227,16,1800000,26,57,1
25,1,1,1,1,1,1,0,0,4220,9904,2399,16,1800000,6,7,0
26,1,1,1,,1,1,0,1,2619,10326,688,16,2250000,46,44,1
27,1,1,1,1,1,1,0,0,3465,10139,1554,12,2200000,27,13,1
28,1,1,0,1,1,0,0,0,1364,8744,3230,15.75,1500000,12,10,0
29,1,1,1,1,1,1,0,1,1984,10632,358,12,1500000,12,25,1
30,1,1,1,1,1,0,0,0,3717,8869,2531,25,1300000,20,35,0
31,1,1,1,,1,1,0,0,2908,9013,1958,21,1700000,30,231,1
32,1,,1,1,1,1,0,,2170,8685,2162,14,1800000,13,4,0
33,1,1,1,1,1,1,0,0,4176,7335,3772,12,1000000,5,12,0
34,1,1,1,1,1,1,0,0,1705,8693,2347,20,1900000,6,1,0
35,1,1,1,1,1,0,0,0,3487,8705,2488,12,1750000,12,22,0
36,1,1,0,1,1,1,0,0,1790,8696,2288,12,1100000,32,9,0
37,0,1,0,0,1,0,0,1,3823,10365,1794,12,750000,46,22,0
38,1,1,1,1,1,0,0,0,3796,10104,1890,12,1000000,12,76,0
39,0,1,0,1,1,,0,0,3485,9306,2085,12,700000,5,34,0
40,1,1,1,1,1,1,0,0,3464,8882,2354,16,1400000,,49,2
41,0,1,0,1,1,1,0,0,2199,7959,3918,9,900000,17,17,0
42,1,1,1,1,1,1,0,0,2180,7952,3861,12,1300000,5,9,0
43,1,1,1,1,1,,0,0,4539,13800,2973,12,600000,50,392,0
44,0,1,1,1,1,0,0,0,2238,9330,1498,25,1200000,11,4,0
45,0,1,0,1,0,0,0,0,2642,10408,634,9,750000,23,12,0
46,1,1,0,1,1,0,0,0,2642,10408,634,12,1400000,23,3,0
47,1,1,1,1,1,1,0,1,1542,8785,2340,9,1750000,22,4,0
48,1,1,1,1,1,1,0,1,1542,8785,2340,12,1850000,22,1,0
49,0,1,1,1,1,0,0,1,1290,8770,2787,15,800000,5,131,0
50,0,0,1,1,1,1,0,1,1091,9080,3144,12,700000,12,28,2
51,1,1,0,1,1,1,0,1,6060,9542,4382,16,1300000,10,28,1
52,1,1,1,1,1,1,0,0,2995,9069,1952,12,,14,3,0
53,1,1,1,1,1,1,0,0,1430,8816,3458,20,1500000,15,23,0
54,1,1,0,1,1,1,0,1,880,9211,2885,12,1400000,80,6,0
55,1,1,1,1,1,1,0,0,2323,8331,2524,16,1600000,8,9,0
56,1,1,1,1,1,1,0,0,3213,9851,1513,20,3000000,2,6,1
57,1,1,1,1,1,1,0,1,2192,7939,3869,12,1200000,4,14,0
58,1,1,1,1,1,1,0,1,2198,7949,3901,12,1200000,4,1,0
59,0,1,1,1,1,0,0,1,1189,9066,3294,,1000000,5,15,0
60,0,0,1,1,1,1,0,0,1611,8610,3562,9,900000,7,5,0
61,1,1,1,1,1,1,0,1,1582,8676,3577,9,1800000,9,9,2
62,1,1,1,1,1,1,0,0,1954,8135,3115,,2000000,34,3,2
63,1,1,1,1,1,1,0,1,1384,9025,2124,36,2800000,33,18,1
64,0,0,1,1,1,1,0,0,1123,9129,3245,8.1,1150000,8,1,0
65,0,1,1,1,1,1,0,0,6293,3794,7060,12,900000,3,49,0
66,0,1,0,1,1,1,0,1,3018,7357,4782,17.5,600000,5,36,0
67,0,1,0,1,1,1,0,1,3018,7357,4782,21,750000,5,2,0
68,0,1,1,1,1,1,0,0,1685,8370,3075,12,950000,15,14,0
69,1,1,1,1,1,1,0,0,1591,8526,2776,9,1150000,27,10,0
70,1,1,1,1,1,1,0,0,,9851,1513,12,2500000,3,7,1
71,0,1,1,1,1,1,0,0,763,10286,3025,9,850000,27,15,0
72,0,1,1,1,1,1,0,0,763,10286,3025,12,900000,27,2,0
73,0,1,1,1,1,,0,0,2728,7327,4069,12,700000,10,33,0
74,1,1,1,1,1,1,0,0,1597,8521,2775,12,1300000,8,11,0
75,1,1,0,1,1,1,0,1,5958,15891,6437,16,1500000,10,15,1
76,1,1,0,1,1,1,0,1,5958,15891,6437,16,1800000,10,18,1
77,1,,1,1,1,1,0,1,1250,8952,3287,12,1800000,17,32,0
78,1,1,1,1,1,0,0,0,4506,13974,3161,30,1400000,,28,0
79,1,0,1,1,1,1,0,1,1396,8677,3160,10.5,1400000,10,13,0
80,0,0,0,1,0,0,0,0,1997,8389,2585,21,320000,9,190,2
81,0,0,0,0,0,0,0,0,4210,9901,2390,9,500000,9,5,2
82,0,0,0,0,0,0,0,0,1868,8540,2454,9,400000,8,36,0
