fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1489.0,8566.0,3146.0,13.5,750000.0,8.0,10,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2185.0,8655.0,2192.0,12.0,600000.0,3.0,11,-1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3204.0,9604.0,5538.0,9.0,550000.0,1.0,7,0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,8677.0,1373.0,9510.0,9.0,500000.0,5.0,17,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1834.0,10303.0,628.0,9.0,450000.0,16.0,17,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4681.0,5386.0,5566.0,9.0,320000.0,3.0,13,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,9268.0,1570.0,9.0,500000.0,8.0,10,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4283.0,5794.0,5165.0,9.0,300000.0,10.0,32,-1
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,970.0,10454.0,1387.0,9.0,550000.0,14.0,13,-1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5430.0,15345.0,4755.0,25.0,900000.0,8.0,3,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2795.0,11501.0,685.0,9.0,400000.0,20.0,16,-1
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2480.0,11774.0,1090.0,9.0,450000.0,3.0,15,-1
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2903.0,8643.0,2263.0,9.0,800000.0,10.0,25,-1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3597.0,6489.0,4912.0,12.0,1500000.0,16.0,101,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5824.0,14888.0,4118.0,16.0,500000.0,11.0,15,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1542.0,8785.0,2340.0,9.0,1750000.0,22.0,4,-1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3785.0,11762.0,1465.0,9.0,475000.0,6.0,194,1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4621.0,12802.0,2407.0,9.0,800000.0,11.0,68,-1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7850.0,17039.0,9013.0,12.25,550000.0,2.0,3,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6763.0,6719.0,6014.0,7.5,350000.0,8.0,7,-1
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6206.0,15780.0,4962.0,12.0,450000.0,9.0,18,-1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3538.0,8746.0,2492.0,14.0,801000.0,7.0,33,-1
1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10471.0,513.0,11180.0,9.0,1350000.0,4.0,1,1
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,5504.0,7593.0,4582.0,9.0,900000.0,1.0,1,-1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2625.0,9410.0,1507.0,7.5,365000.0,26.0,10,-1
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,7593.0,16754.0,5988.0,12.0,450000.0,7.0,169,-1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8868.0,17625.0,10220.0,12.0,500000.0,8.0,164,0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3564.0,6666.0,4208.0,12.0,850000.0,17.0,22,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2807.0,7496.0,3401.0,12.0,1250000.0,16.0,26,-1
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2958.0,7736.0,4920.0,14.0,1000000.0,2.0,39,1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1755.0,8327.0,3438.0,32.0,2800000.0,14.0,9,0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,6083.0,15579.0,7152.0,12.0,600000.0,20.0,224,-1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1471.0,9731.0,1289.0,30.0,2500000.0,1.0,5,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6638.0,16671.0,6718.0,12.0,650000.0,2.0,9,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3431.0,7193.0,3634.0,9.0,450000.0,5.0,20,1
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5286.0,15304.0,4959.0,10.5,600000.0,10.0,64,-1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2130.0,8768.0,2079.0,24.0,2500000.0,13.0,18,0
