fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,8569.0,1487.0,9350.0,9.0,417000.0,11.0,14.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5234.0,14832.0,4033.0,9.0,1500000.0,1.0,11.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4293.0,9413.0,2700.0,12.0,2000000.0,1.0,2.0,-1.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,6240.0,3873.0,6967.0,16.0,500000.0,10.0,24.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6988.0,7676.0,5908.0,16.0,750000.0,14.0,6.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9777.0,841.0,10390.0,11.25,900000.0,21.0,18.0,-1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3542.0,12354.0,1567.0,9.0,1500000.0,20.0,5.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2789.0,12613.0,4017.0,9.0,400000.0,4.0,40.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2182.0,9962.0,867.0,12.0,400000.0,17.0,11.0,1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1178.0,8871.0,2806.0,14.0,600000.0,1.0,95.0,-1.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1674.0,8924.0,3855.0,18.0,1750000.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4440.0,13814.0,2990.0,9.0,500000.0,10.0,22.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3580.0,7422.0,3463.0,9.0,400000.0,4.0,1.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,9374.0,1119.0,9972.0,12.0,1100000.0,13.0,20.0,-1.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,9216.0,1058.0,9613.485860253146,9.0,400000.0,40.0,46.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1285.0,9089.0,2118.0,8.25,475000.0,12.0,24.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2074.0,11984.0,3380.0,24.3,900000.0,5.0,15.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8973.0,18955.0,8347.0,8.4,375000.0,7.0,1.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2255.0,8076.0,2877.0,12.0,2000000.0,7.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2617.0,7451.0,4046.0,9.0,420000.0,8.57812119319455,7.0,1.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3089.0,8257.0,5249.0,14.0,1700000.0,1.0,4.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2340.0,7708.0,3665.0,12.0,1500000.0,7.0,22.0,-1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10140.0,329.0,10982.0,14.0,800000.0,18.0,6.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10653.0,633.0,11458.0,12.0,700000.0,21.0,33.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3305.0,8879.0,2260.0,12.0,900000.0,16.0,15.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1681.0,8481.0,3542.0,12.0,1500000.0,8.0,14.0,1.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8132.0,17956.0,8649.0,7.5,350000.0,13.0,40.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4058.0,7539.0,3579.0,18.0,1800000.0,3.0,5.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6172.0,15157.0,7607.0,21.0,600000.0,13.0,41.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4246.0,6104.0,4723.0,24.0,1300000.0,2.0,5.0,-1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4815.0,14632.0,3969.0,12.0,850000.0,12.0,28.0,-1.0
