fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6562.0,9055.0,5049.0,24.0,750000.0,1.0,13.0,-1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,7714.0,15845.0,9413.0,9.0,470000.0,8.0,31.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5777.0,14983.0,7113.0,14.0,425000.0,4.0,1.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2699.0,8501.0,2341.0,14.545474406863427,1200000.0,4.0,33.0,1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3128.0,7728.0,5127.0,12.0,750000.0,3.0,18.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10478.0,670.0,11140.0,9.0,583000.0,27.0,22.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1093.0,10573.0,1293.0,15.0,750000.0,2.0,45.0,-1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9845.0,670.0,10491.0,9.0,300000.0,30.0,12.0,1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,932.0,9244.0,2268.0,12.0,875000.0,25.0,27.0,-1.0
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2843.0,8755.0,2150.0,12.0,1400000.0,30.0,8.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4518.0,10045.0,2635.0,9.0,450000.0,16.0,30.0,1.0
0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,10303.0,334.0,11121.0,12.96,850000.0,40.0,19.0,-1.0
0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3608.0,13163.0,2421.0,6.25,725000.0,7.0,69.0,-1.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2853.0,9954.0,1165.0,16.0,700000.0,14.0,109.0,1.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,6350.0,4372.0,6631.0,8.75,400000.0,2.0,26.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1980.0,8907.0,4202.0,16.0,1200000.0,4.0,67.0,1.0
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,871.0,10781.0,1795.0,16.0,1500000.0,1.0,2.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5397.0,9003.0,3912.0,9.0,250000.0,7.0,18.0,1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1295.0,9095.0,3463.0,9.0,600000.0,5.0,3.0,-1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3640.0,13638.0,3417.0,9.0,500000.0,2.0,769.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,519.0,10398.0,1894.0,9.0,350000.0,1.0,13.0,1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4156.0,13886.0,3199.0,12.0,850000.0,12.0,38.0,-1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,7602.0,16831.0,8755.0,12.0,590000.0,9.42346412866052,1.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,8344.0,17952.0,9119.0,9.0,1350000.0,11.0,24.0,-1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6661.0,3491.0,7751.0,24.0,800000.0,2.0,11.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,7241.0,16825.0,8119.0,9.0,350000.0,20.0,10.0,1.0
1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1533.0,8715.0,3533.0,9.0,1350000.0,7.0,5.0,-1.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,979.0,10812.0,2918.0,9.0,450000.0,7.0,6.0,-1.0
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,7802.0,13242.0,5499.0,12.0,500000.0,13.0,69.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,13268.0,6505.0,14923.0,9.0,650000.0,1.0,4.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,10217.0,239.0,11027.0,9.0,460000.0,8.0,1.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10993.0,2807.0,12257.0,13.75,500000.0,1.0,7.0,0.0
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,8451.0,1692.0,9144.0,9.0,1200000.0,9.0,18.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7783.0,11487.0,5731.0,9.0,375000.0,4.0,26.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3941.0,6925.0,3958.0,12.0,600000.0,8.0,48.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2360.0,8106.0,2783.0,20.0,4500000.0,3.0,22.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1061.0,9359.0,3302.0,9.0,500000.0,6.0,8.0,1.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10406.0,660.0,11060.0,9.0,500000.0,20.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2199.0,11284.0,640.0,9.0,1200000.0,6.0,48.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7255.0,16903.0,8064.0,12.0,550000.0,8.0,10.0,-1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4665.0,9042.55280407613,6946.0,12.0,400000.0,3.0,9.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,837.0,10739.0,2769.0,9.0,800000.0,10.0,122.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9042.0,1577.0,9572.0,12.0,710000.0,19.0,16.0,-1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5638.0,8694.0,4261.0,14.0,650000.0,2.0,24.0,-1.0
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3663.0,11321.0,1331.0,9.0,500000.0,1.0,231.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2908.0,9013.0,1958.0,21.0,1700000.0,30.0,231.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5457.0,15040.0,6509.0,12.0,400000.0,1.0,1.0,1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4482.0,9813.0,2695.0,9.0,600000.0,20.0,45.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3459.0,9618.0,1864.0,35.0,3500000.0,4.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5092.0,14640.0,6226.0,9.0,600000.0,1.0,10.0,1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,6265.0,10284.0,4375.0,13.5,750000.0,3.0,44.0,1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,14443.0,24471.0,13900.0,9.0,350000.0,13.0,101.0,-1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,9761.0,306.0,10568.0,9.0,1020000.0,12.0,1.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8670.0,1633.0,9284.0,12.0,900000.0,10.0,17.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5421.0,15376.0,4852.0,9.0,2000000.0,4.0,10.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3728.0,13521.0,4783.0,9.0,300000.0,11.0,23.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2553.0,12553.0,2606.0,25.0,2500000.0,20.0,6.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,26307.0,34082.0,27634.0,9.0,400000.0,13.0,24.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4917.0,14013.0,3213.0,12.0,1500000.0,19.0,32.0,0.0
1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5530.0,15154.0,6530.0,12.0,900000.0,1.0,7.0,-1.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1697.0,8548.0,2581.0,15.0,600000.0,2.0,36.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6185.0,7630.0,5167.0,10.5,500000.0,9.0,3.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1591.0,8526.0,2776.0,9.0,1150000.0,27.0,10.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3101.0,8367.0,2557.0,16.0,750000.0,9.0,78.0,-1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3227.0,11518.0,933.0,9.0,525000.0,8.0,18.0,-1.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6513.0,9053.0,5000.0,8.0,500000.0,15.0,13.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6938.0,16039.0,8231.0,21.0,700000.0,9.0,9.0,-1.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4274.0,13591.0,5730.0,12.0,1000000.0,2.0,29.0,0.0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3095.0,8347.0,2571.0,9.0,550000.0,8.0,107.0,1.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,9238.0,819.0,10009.0,16.0,500000.0,7.0,2.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5276.0,8763.0,3893.0,7.5625,400000.0,10.0,21.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1490.0,8572.0,3184.0,12.0,1500000.0,9.0,54.0,1.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,782.0,9308.0,2400.0,7.5,625000.0,21.0,8.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8456.0,18206.0,9059.0,9.0,300000.0,6.0,19.0,1.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3805.56413903665,6735.0,4113.0,13.5,600000.0,5.0,34.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5603.0,14678.0,7046.0,9.0,450000.0,15.0,3.0,-1.0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1133.0,9174.0,2141.0,9.0,500000.0,11.0,24.0,-1.0
0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,13986.0,3952.0,14761.0,9.0,450000.0,7.0,13.0,-1.0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1186.0,8863.0,2885.0,9.0,1000000.0,8.0,73.0,1.0
