fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,poi_1,poi_2,poi_3,size,price_monthly,room_count,total_call,gender
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3691.0,6869.0,3959.0,9.0,450000.0,6.0,37,1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3823.0,10365.0,1794.0,12.0,750000.0,46.0,22,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7129.0,16238.0,8400.0,9.0,500000.0,4.0,18,-1
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5142.0,13232.0,7080.0,12.0,400000.0,9.0,57,-1
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4274.0,13591.0,5730.0,12.0,800000.0,3.0,28,0
0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,12886.0,22928.0,12664.0,12.0,425000.0,16.0,38,-1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4603.0,10030.0,2727.0,18.0,700000.0,3.0,25,0
0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3685.0,13701.0,3540.0,12.0,1700000.0,10.0,4,1
0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1776.0,9536.0,1346.0,9.0,550000.0,10.0,24,1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4428.0,8565.0,6684.0,12.0,350000.0,7.0,56,-1
1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2500.0,9040.0,4784.0,9.0,1100000.0,5.0,55,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5038.0,13542.0,2976.0,9.0,700000.0,4.0,7,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9485.0,19534.0,9266.0,9.0,250000.0,2.0,46,1
1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,6049.0,9028.0,4541.0,9.0,800000.0,6.0,17,-1
0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,10349.0,437.0,11054.0,9.0,585000.0,31.0,2,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3269.0,6891.0,4773.0,9.0,420000.0,25.0,2,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,6557.0,9433.0,4928.0,12.0,750000.0,10.0,36,1
1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3464.0,13497.0,3938.0,20.0,2400000.0,7.0,1,1
0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4245.0,13327.0,2514.0,9.0,750000.0,14.0,55,1
0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1658.0,8474.0,3477.0,12.0,700000.0,17.0,13,-1
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5699.0,15743.0,5747.0,9.0,300000.0,9.0,31,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32463.0,37098.0,30142.0,16.0,600000.0,1.0,2,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,838.0,10542.0,2969.0,12.25,900000.0,19.0,91,-1
0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5651.0,10674.0,3613.0,12.0,450000.0,2.0,22,0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9705.0,412.0,10540.0,9.0,350000.0,4.0,5,-1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6679.0,15973.0,7860.0,9.0,292000.0,8.0,30,-1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1843.0,8607.0,2376.0,25.0,2250000.0,1.0,4,-1
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,5117.0,10465.0,3107.0,12.0,750000.0,22.0,4,-1
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5730.0,10386.0,3779.0,12.0,2550000.0,3.0,9,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9316.0,1078.0,9938.0,9.0,250000.0,4.0,6,1
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,9589.0,2423.0,9844.0,20.0,850000.0,3.0,23,1
1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,6921.0,16150.0,8129.0,9.0,1300000.0,3.0,19,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4611.0,14275.0,3522.0,12.0,400000.0,10.0,24,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5038.0,13542.0,2976.0,9.0,650000.0,4.0,8,0
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,932.0,9244.0,2268.0,12.0,875000.0,25.0,27,-1
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1029.0,10694.0,1450.0,9.0,435000.0,15.0,8,-1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4847.0,13593.0,2901.0,9.9,400000.0,7.0,52,1
0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2255.0,9345.0,1485.0,6.0,250000.0,1.0,139,-1
0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4897.0,13818.0,3064.0,18.0,600000.0,3.0,51,0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2701.0,11471.0,645.0,12.0,375000.0,4.0,12,-1
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,5402.0,15357.0,4835.0,16.0,3000000.0,4.0,4,0
